,Titre,Company,Summaries,avg,cityfrance,city
542,Conseiller clientèle bancaire confirmé H/F,OpenClassrooms,"La formation « Développeur d’Application Python » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !",2100.0,['Bordeaux (33)'],Bordeaux (33)
544,"Chef de secteur Nord-Est GSA, GSS H/F",Selescope,"La formation « Développeur d’Application PHP / Symfony » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !",2355.0,['Bordeaux (33)'],Bordeaux (33)
548,DÉVELOPPEUR INFORMATIQUE (H/F),HAYS,"Vous avez un tempérament de développeur et vous disposez d'un bon relationnel.
Une PME nationale et familiale renforce ses équipes.",2100.0,['Bordeaux (33)'],Bordeaux (33)
549,Chef de bureau reporting / business intelligence H/F,Pharmagest,L’expertise IT LINK est sollicitée pour accompagner un de ses partenaires dans son projet ambitieux de développement d’applications et d’outils digitaux…,2355.0,['Bordeaux (33)'],Bordeaux (33)
551,(ALTERNANCE) Développeur PHP/Symfony - Chez l’un de nos partenaires,FORSTAFF,"Vous disposez d’une expérience d’analyste testeur, d’analyste fonctionnel ou de développeur avec une appétence pour les tests, et vous désirez évoluer dans une…",2100.0,['Bordeaux (33)'],Bordeaux (33)
552,(ALTERNANCE) Développeur Web - Chez l’un de nos partenaires,HAYS,"Votre mental de développeur et votre persévérance dans la prospection et dans le suivi d'un portefeuille clients.
En quoi consiste le challenge ?",2355.0,['Bordeaux (33)'],Bordeaux (33)
556,Directeur ingénierie bâtiment H/F,OpenClassrooms,"En tant que développeur informatique, votre spécialité, vous participez à l'installation, à la mise en oeuvre et à l'exploitation de réseaux informatiques.",2100.0,['Bordeaux (33)'],Bordeaux (33)
557,INGENIEUR COMMERCIAL REIMS H/F,OpenClassrooms,La spécialité de Chef de bureau reporting - business intelligence ouvre droit à la PLS conformément à l’arrêté du 13 décembre 2019 modifiant l’arrêté du 20 mai…,2355.0,['Bordeaux (33)'],Bordeaux (33)
559,Conseiller clientèle bancaire confirmé H/F,Armée de Terre,"La formation « Développeur d’Application PHP / Symfony » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !",2100.0,['Bordeaux (33)'],Bordeaux (33)
564,Chef de bureau reporting / business intelligence H/F,IT link,"Vous avez un tempérament de développeur et vous disposez d'un bon relationnel.
Une PME nationale et familiale renforce ses équipes.",2355.0,['Bordeaux (33)'],Bordeaux (33)
619,Développeur Full Stack et Web (F/H) DW-PRE-NA158,HAYS,"Description de l'entreprise : Notre client XS Groupe, est une entreprise franco-allemande d’accompagnement de projets dans l’industrie, familiale et…",3600.0,['Bordeaux (33)'],Bordeaux (33)
631,Conseiller clientèle bancaire confirmé H/F,OpenClassrooms,"La formation « Développeur d’Application Python » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !",3774.0,['Bordeaux (33)'],Bordeaux (33)
633,"Chef de secteur Nord-Est GSA, GSS H/F",Pharmagest,"La formation « Développeur d’Application Frontend » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !",2850.0,['Bordeaux (33)'],Bordeaux (33)
635,Gestionnaire de clientèle bancaire H/F,HAYS,"Vous disposez d’une expérience d’analyste testeur, d’analyste fonctionnel ou de développeur avec une appétence pour les tests, et vous désirez évoluer dans une…",2100.0,['Bordeaux (33)'],Bordeaux (33)
636,(ALTERNANCE) Développeur Web - Chez l’un de nos partenaires,Yun Partners,"Notre société, acteur reconnu sur son marché intervient dans la vente de solutions pour tous types d’applications hydrauliques.",3400.0,['Bordeaux (33)'],Bordeaux (33)
637,DÉVELOPPEUR INFORMATIQUE (H/F),HAYS,"Vous avez un tempérament de développeur et vous disposez d'un bon relationnel.
Une PME nationale et familiale renforce ses équipes.",2355.0,['Bordeaux (33)'],Bordeaux (33)
639,Développeur Full Stack et Web (F/H) DW-PRE-NA158,FORSTAFF,Votre sens de la relation commerciale et votre tempérament de développeur vous permettront d'évoluer rapidement vers des métiers d'expertise ou de management.,3400.0,['Bordeaux (33)'],Bordeaux (33)
642,Développeur Full Stack et Web (F/H) DW-PRE-NA158,OpenClassrooms,"Votre mental de développeur et votre persévérance dans la prospection et dans le suivi d'un portefeuille clients.
En quoi consiste le challenge ?",2100.0,['Bordeaux (33)'],Bordeaux (33)
643,(ALTERNANCE) Développeur Web - Chez l’un de nos partenaires,Armée de Terre,Votre sens de la relation commerciale et votre tempérament de développeur vous permettront d'évoluer rapidement vers des métiers d'expertise ou de management.,2355.0,['Bordeaux (33)'],Bordeaux (33)
644,(ALTERNANCE) Développeur PHP/Symfony - Chez l’un de nos partenaires,Marine Nationale,"La formation « Développeur web » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !",2850.0,['Bordeaux (33)'],Bordeaux (33)
646,Directeur ingénierie bâtiment H/F,Premista,La spécialité de Chef de bureau reporting - business intelligence ouvre droit à la PLS conformément à l’arrêté du 13 décembre 2019 modifiant l’arrêté du 20 mai…,2355.0,['Bordeaux (33)'],Bordeaux (33)
647,INGENIEUR COMMERCIAL REIMS H/F,OpenClassrooms,"Un développeur Full stack et Web (F/H).
Développeur full stack et web (f/h) ou similaire: 5 ans (Souhaité).
Capacités à évoluer en mode agile.",2100.0,['Mérignac (33)'],Mérignac (33)
648,Technico-Commercial h/f,Premista,"Le groupe Premista a fait le choix de maîtriser tous ses outils métiers et dans ce cadre, nous cherchons à renforcer notre équipe de développeurs/euses pour…",3400.0,['Bordeaux (33)'],Bordeaux (33)
649,Ingénieur études et développement Java F/H,OpenClassrooms,"La formation « Développeur d’Application Java » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !",2850.0,['Bordeaux (33)'],Bordeaux (33)
650,Conseiller clientèle bancaire confirmé H/F,OpenClassrooms,"Un développeur Full stack et Web (F/H).
Développeur full stack et web (f/h) ou similaire: 5 ans (Souhaité).
Capacités à évoluer en mode agile.",3400.0,['Bordeaux (33)'],Bordeaux (33)
651,Analyste Testeur Agile / Devops h/f,Selescope,"La formation « Développeur web » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !",2100.0,['Bordeaux (33)'],Bordeaux (33)
652,COMMERCIAL DISTRIBUTION B to B 67-68 F/H,Pharmagest,"La formation « Développeur d’Application PHP / Symfony » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !",1800.0,['Bordeaux (33)'],Bordeaux (33)
653,"Chef de secteur Nord-Est GSA, GSS H/F",HAYS,"Notre société, acteur reconnu sur son marché intervient dans la vente de solutions pour tous types d’applications hydrauliques.",2416.0,['Bordeaux (33)'],Bordeaux (33)
655,(ALTERNANCE) Développeur Java - Chez l’un de nos partenaires,Humaniak,"Vous avez un tempérament de développeur et vous disposez d'un bon relationnel.
Une PME nationale et familiale renforce ses équipes.",2355.0,['Bordeaux (33)'],Bordeaux (33)
656,(ALTERNANCE) Développeur Python - Chez l’un de nos partenaires,Yun Partners,L’expertise IT LINK est sollicitée pour accompagner un de ses partenaires dans son projet ambitieux de développement d’applications et d’outils digitaux…,2850.0,['Mérignac (33)'],Mérignac (33)
657,Développeur (F/H) DEV-PRE-PNL80,HAYS,"Description de l'entreprise : Notre client XS Groupe, est une entreprise franco-allemande d’accompagnement de projets dans l’industrie, familiale et…",3400.0,['Bordeaux (33)'],Bordeaux (33)
658,(ALTERNANCE) Développeur Java - Chez l’un de nos partenaires,FORSTAFF,Muni d'un véritable tempérament de business développeur vous avez l'habitude de démultiplier les démarches directes et indirectes pour approcher vos cibles.,2100.0,['Bordeaux (33)'],Bordeaux (33)
661,Développeur (F/H) DEV-PRE-PNL80,OpenClassrooms,"Votre mental de développeur et votre persévérance dans la prospection et dans le suivi d'un portefeuille clients.
En quoi consiste le challenge ?",2850.0,['Bordeaux (33)'],Bordeaux (33)
662,Développeur Full Stack et Web (F/H) DW-PRE-NA158,OpenClassrooms,Votre sens de la relation commerciale et votre tempérament de développeur vous permettront d'évoluer rapidement vers des métiers d'expertise ou de management.,2355.0,['Bordeaux (33)'],Bordeaux (33)
664,Technico-Commercial h/f,OpenClassrooms,"La formation « Développeur d’Application Python » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !",3400.0,['Bordeaux (33)'],Bordeaux (33)
665,Analyste Testeur Agile / Devops h/f,OpenClassrooms,"Le groupe Premista a fait le choix de maîtriser tous ses outils métiers et dans ce cadre, nous cherchons à renforcer notre équipe de développeurs/euses pour…",2100.0,['Mérignac (33)'],Mérignac (33)
668,Chargé d’Affaires Ingénierie H/F par Humanys,Premista,"La formation « Développeur d’Application Python » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !",2850.0,['Metz (57)'],Metz (57)
669,INGENIEUR COMMERCIAL REIMS H/F,OpenClassrooms,"Le groupe Premista a fait le choix de maîtriser tous ses outils métiers et dans ce cadre, nous cherchons à renforcer notre équipe de développeurs/euses pour…",2355.0,['France'],France
671,"Chef de secteur Nord-Est GSA, GSS H/F",Pharmagest,"La formation « Développeur d’Application Java » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !",2100.0,['Metz (57)'],Metz (57)
672,COMMERCIAL DISTRIBUTION B to B 67-68 F/H,HAYS,"Notre société, acteur reconnu sur son marché intervient dans la vente de solutions pour tous types d’applications hydrauliques.",3400.0,['France'],France
674,(ALTERNANCE) Développeur PHP/Symfony - Chez l’un de nos partenaires,IT link,"Vous avez un tempérament de développeur et vous disposez d'un bon relationnel.
Une PME nationale et familiale renforce ses équipes.",2355.0,['Metz (57)'],Metz (57)
676,(ALTERNANCE) Développeur PHP/Symfony - Chez l’un de nos partenaires,HAYS,"Description de l'entreprise : Notre client XS Groupe, est une entreprise franco-allemande d’accompagnement de projets dans l’industrie, familiale et…",2850.0,['France'],France
677,(ALTERNANCE) Développeur Python - Chez l’un de nos partenaires,JBL CONSEIL,Muni d'un véritable tempérament de business développeur vous avez l'habitude de démultiplier les démarches directes et indirectes pour approcher vos cibles.,2100.0,['France'],France
679,Développeur Full Stack et Web (F/H) DW-PRE-NA158,HAYS,"Votre sens de l’engagement, votre réactivité, votre capacité d’adaptation ainsi que votre esprit de développeur seront des atouts pour réussir dans cette…",3400.0,['Metz (57)'],Metz (57)
680,(ALTERNANCE) Développeur Frontend - Chez l’un de nos partenaires,OpenClassrooms,"Votre mental de développeur et votre persévérance dans la prospection et dans le suivi d'un portefeuille clients.
En quoi consiste le challenge ?",2850.0,['France'],France
681,Développeur Java Angular H/F,OpenClassrooms,Votre sens de la relation commerciale et votre tempérament de développeur vous permettront d'évoluer rapidement vers des métiers d'expertise ou de management.,2355.0,['Metz (57)'],Metz (57)
683,Directeur ingénierie bâtiment H/F,OpenClassrooms,"La formation « Développeur d’Application Frontend » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !",2850.0,['Metz (57)'],Metz (57)
685,Technico-Commercial h/f,Premista,"La formation « Développeur d’Application Python » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !",2355.0,['France'],France
686,Conseiller clientèle bancaire confirmé H/F,OpenClassrooms,"Le groupe Premista a fait le choix de maîtriser tous ses outils métiers et dans ce cadre, nous cherchons à renforcer notre équipe de développeurs/euses pour…",3400.0,['France'],France
689,COMMERCIAL DISTRIBUTION B to B 67-68 F/H,Selescope,"Prendre part à l’aventure Polymont IT Services, c’est se donner la possibilité d’évoluer dans un cadre dynamique où le partage et la bonne humeur rythment notre…",2100.0,['Metz (57)'],Metz (57)
690,Gestionnaire de clientèle bancaire H/F,HAYS,"Vous disposez d’une expérience d’analyste testeur, d’analyste fonctionnel ou de développeur avec une appétence pour les tests, et vous désirez évoluer dans une…",2850.0,['Metz (57)'],Metz (57)
692,(ALTERNANCE) Développeur PHP/Symfony - Chez l’un de nos partenaires,HAYS,"Vous avez un tempérament de développeur et vous disposez d'un bon relationnel.
Une PME nationale et familiale renforce ses équipes.",2355.0,['Metz (57)'],Metz (57)
693,(ALTERNANCE) Développeur Python - Chez l’un de nos partenaires,IT link,Muni d'un véritable tempérament de business développeur vous avez l'habitude de démultiplier les démarches directes et indirectes pour approcher vos cibles.,3400.0,['France'],France
694,Développeur (F/H) DEV-PRE-PNL80,FORSTAFF,Votre sens de la relation commerciale et votre tempérament de développeur vous permettront d'évoluer rapidement vers des métiers d'expertise ou de management.,2419.0,['France'],France
696,(ALTERNANCE) Développeur Frontend - Chez l’un de nos partenaires,HAYS,"Votre sens de l’engagement, votre réactivité, votre capacité d’adaptation ainsi que votre esprit de développeur seront des atouts pour réussir dans cette…",2100.0,['France'],France
697,Développeur Java Angular H/F,OpenClassrooms,"Votre mental de développeur et votre persévérance dans la prospection et dans le suivi d'un portefeuille clients.
En quoi consiste le challenge ?",3400.0,['Metz (57)'],Metz (57)
698,Analyste Testeur Agile / Devops h/f,OpenClassrooms,Votre sens de la relation commerciale et votre tempérament de développeur vous permettront d'évoluer rapidement vers des métiers d'expertise ou de management.,2100.0,['France'],France
699,Directeur ingénierie bâtiment H/F,OpenClassrooms,"La formation « Développeur d’Application Frontend » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !",1800.0,['Metz (57)'],Metz (57)
702,Conseiller clientèle bancaire confirmé H/F,OpenClassrooms,"Le groupe Premista a fait le choix de maîtriser tous ses outils métiers et dans ce cadre, nous cherchons à renforcer notre équipe de développeurs/euses pour…",2850.0,['France'],France
703,Ingénieur études et développement Java F/H,Pharmagest,"Un développeur Full stack et Web (F/H).
Développeur full stack et web (f/h) ou similaire: 5 ans (Souhaité).
Capacités à évoluer en mode agile.",2850.0,['France'],France
705,COMMERCIAL DISTRIBUTION B to B 67-68 F/H,Yun Partners,"Notre société, acteur reconnu sur son marché intervient dans la vente de solutions pour tous types d’applications hydrauliques.",2355.0,['Metz (57)'],Metz (57)
706,Gestionnaire de clientèle bancaire H/F,HAYS,"Vous disposez d’une expérience d’analyste testeur, d’analyste fonctionnel ou de développeur avec une appétence pour les tests, et vous désirez évoluer dans une…",3400.0,['France'],France
708,(ALTERNANCE) Développeur PHP/Symfony - Chez l’un de nos partenaires,HAYS,L’expertise IT LINK est sollicitée pour accompagner un de ses partenaires dans son projet ambitieux de développement d’applications et d’outils digitaux…,2100.0,['Metz (57)'],Metz (57)
709,(ALTERNANCE) Développeur Python - Chez l’un de nos partenaires,Pharmagest,"Description de l'entreprise : Notre client XS Groupe, est une entreprise franco-allemande d’accompagnement de projets dans l’industrie, familiale et…",3400.0,['France'],France
710,Développeur (F/H) DEV-PRE-PNL80,JBL CONSEIL,Muni d'un véritable tempérament de business développeur vous avez l'habitude de démultiplier les démarches directes et indirectes pour approcher vos cibles.,2100.0,['France'],France
715,Directeur ingénierie bâtiment H/F,OpenClassrooms,"La formation « Développeur d’Application Frontend » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !",2355.0,['Metz (57)'],Metz (57)
716,Analyste Testeur Agile / Devops h/f,Premista,"La formation « Développeur d’Application PHP / Symfony » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !",2850.0,['Metz (57)'],Metz (57)
717,Technico-Commercial h/f,Premista,"La formation « Développeur d’Application Python » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !",3400.0,['France'],France
718,Ingénieur études et développement Java F/H,OpenClassrooms,"Le groupe Premista a fait le choix de maîtriser tous ses outils métiers et dans ce cadre, nous cherchons à renforcer notre équipe de développeurs/euses pour…",2100.0,['Metz (57)'],Metz (57)
721,"Chef de secteur Nord-Est GSA, GSS H/F",HAYS,Muni d'un véritable tempérament de business développeur vous avez l'habitude de démultiplier les démarches directes et indirectes pour approcher vos cibles.,2355.0,['France'],France
722,Gestionnaire de clientèle bancaire H/F,Selescope,"Au cœur des mutations du système de santé, toujours plus centré sur le patient, nous sommes à la pointe de tous les défis technologiques allant du logiciel…",2850.0,['Metz (57)'],Metz (57)
723,Marketing Data/Business Analyste H/F,IT link,"Vous avez un tempérament de développeur et vous disposez d'un bon relationnel.
Une PME nationale et familiale renforce ses équipes.",2355.0,['Metz (57)'],Metz (57)
724,Data Analyst Senior (H/F),Pharmagest,"Notre société, acteur reconnu sur son marché intervient dans la vente de solutions pour tous types d’applications hydrauliques.",3400.0,['France'],France
725,DEVELOPPEUR BACK-END ET FRONT-END (FULL STACK) H/F,HAYS,L’expertise IT LINK est sollicitée pour accompagner un de ses partenaires dans son projet ambitieux de développement d’applications et d’outils digitaux…,1982.0,['France'],France
727,Développeur .NET Junior H/F,FORSTAFF,Votre sens de la relation commerciale et votre tempérament de développeur vous permettront d'évoluer rapidement vers des métiers d'expertise ou de management.,2000.0,['Metz (57)'],Metz (57)
728,Développeur .NET H/F,HAYS,"Votre mental de développeur et votre persévérance dans la prospection et dans le suivi d'un portefeuille clients.
En quoi consiste le challenge ?",2100.0,['France'],France
730,Data Analyst-Data Scientist H/F,MDA,Votre sens de la relation commerciale et votre tempérament de développeur vous permettront d'évoluer rapidement vers des métiers d'expertise ou de management.,2850.0,['France'],France
731,Marketing Data/Business Analyst H/F,Cabinet Hermès Lyon,"1 - Développer les indicateurs de business intelligence*.
Sens du business développé et un excellent relationnel pour travailler en étroite collaboration avec…",2355.0,['France'],France
733,Alternant en Business Intelligence (H/F) Lyon,SQLI,"La formation « Développeur d’Application PHP / Symfony » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !",3400.0,['Metz (57)'],Metz (57)
734,Alternance - Data Analyst H/F,Berger-Levrault,"La formation « Développeur d’Application Java » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !",2100.0,['France'],France
735,Senior Business Analyst H/F,BIRDZ,"Euro Information, filiale Informatique du groupe de bancassurance Crédit Mutuel, conçoit, réalise, maintient et exploite un système d'information commun utilisé…",2850.0,['France'],France
736,UN ALTERNANT – DATA ANALYST (H/F),BIRDZ,"Salaire : 30 000,00 € à 40 000,00 € /an .
Expérience min : 3 ans (autodidacte inclus).
La Société des Avis Garantis met à disposition des e-commerçants une…",3400.0,['France'],France
737,Business Analyst en CDI F/H,Delta Security Solutions," Data Prep et data cleaning.
 Gère de bout en bout l’alimentation en données : identification, data prep, data.
Temps de travail : Temps plein.",2850.0,['France'],France
739,(ALTERNANCE) Développeur Frontend - Chez l’un de nos partenaires,KPMG,"1 - Développer les indicateurs de business intelligence :
Sens du business développé et un excellent relationnel pour travailler en étroite collaboration avec…",2355.0,['Metz (57)'],Metz (57)
740,CDI - Data scientist senior H/F,Solvay,"Mise en place d’un funnel de data robuste et fiable, depuis la campagne d’acquisition jusqu’à la redescente d’informations dans le CRM.",2600.0,['Metz (57)'],Metz (57)
743,Développeur web full stack F/H (Télé-Travail possible),Keyrus,"Vous détenez une expérience d’environ 10 ans sur un poste en data science, business analytics ou business intelligence dans des environnement « big data ».",2100.0,['France'],France
744,ATTACHE COMMERCIAL – SUD-EST H/F,SMOOVE sas,"SANOFI a pour ambition d'être un Leader Mondial et intégré de la Santé, centré sur les besoins des patients.
Rejoignez SANOFI et prenez part à notre ambition :…",3400.0,['France'],France
745,Développeur Web Fullstack,OpenClassrooms,"Diplômé(e) d'un Bac +5, vous êtes motivé(e) par le Décisionnel, la data visualisation, et avez des connaissances sur un ou plusieurs outils de Business…",2850.0,['France'],France
747,Business Analyst en CDI F/H,Aviva Cuisines,Vous travaillerez en collaboration avec des analystes métiers spécialisés afin de comprendre parfaitement la question du client et de se concentrer sur le…,2355.0,['Metz (57)'],Metz (57)
749,MEDIA TRADER /DATA ANALYST F/H,Stormshield,"Data analyst senior (h/f) ou similaire: 2 ans (Souhaité).
Manipuler de la data ne vous fait pas peur.
Concepteur et développeur des rapports efficients, visuels…",2100.0,['France'],France
750,Formateur / Data Analyst - Lyon (H/F),Matching emplois,Vous travaillerez en collaboration avec des analystes métiers spécialisés afin de comprendre parfaitement la question du client et de se concentrer sur le…,3400.0,['France'],France
751,BUSINESS ANALYST F/H,Bernard,"Doté d’un excellent sens commercial, vous possédez un tempérament de développeur de business et faites preuve de capacités d’investissement, d’adaptabilité et…",2850.0,['Metz (57)'],Metz (57)
753,Data scientist – Machine learning,Intitek,"De formation supérieure en informatique, vous bénéficiez d’une expérience de 3 ans minimum dans des fonctions de développeur web.
Niveau d'études min. requis.",2355.0,['France'],France
755,Analyste fonctionnel / Business Analyst (H/F),Solvay,Vous disposez d’un premier bagage analytique et avez déjà occupé une première expérience significative dans un poste similaire (contrôle de gestion/data analyst…,2100.0,['France'],France
756,Explorateur Data Scientist - Santé (Lyon) F/H,TRIBEKAI Consulting,"Afin de compléter notre trading desk, nous recherchons un(e) Media Trader et Data Analyst.
Au sein de l’équipe de Trading Desk, vous assurez la gestion et l…",3400.0,['Metz (57)'],Metz (57)
757,Product Owner H/F,Keyrus,"If holding a position in business or data analytics combined with your passion for video games sounds attractive to you, you could be the trainee we are looking…",2850.0,['Metz (57)'],Metz (57)
759,ATTACHE COMMERCIAL – SUD-EST H/F,Alptis,"Depuis 2014 Datalyo accompagne la transformation digitale des organisations par son expertise data.
Cabinet de conseil lyonnais et clermontois « pure player »,…",2355.0,['France'],France
761,(ALTERNANCE) Développeur Python - Chez l’un de nos partenaires,Toroc,"Vous savez également utiliser Excel, les outils de business intelligence et appliquer les concepts de data visualisation.
Vos missions sont les suivantes :",2100.0,['France'],France
